Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Wednesday,12 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,March,Wednesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,36,14.95,538.2,2011,March,Thursday,11 AM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,March,Thursday,2 PM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,March,Thursday,2 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,March,Friday,9 AM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,March,Friday,12 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,March,Sunday,10 AM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Monday,2 PM,Weekday
SPACEBOY BABY GIFT SET,12,14.95,179.4,2011,March,Tuesday,10 AM,Weekday
SPACEBOY BABY GIFT SET,24,14.95,358.8,2011,March,Thursday,7 AM,Weekday
SPACEBOY BABY GIFT SET,2,24.96,49.92,2011,March,Thursday,6 PM,Weekday
SPACEBOY BABY GIFT SET,1,24.96,24.96,2011,March,Thursday,6 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Friday,2 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Monday,11 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Monday,2 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Tuesday,12 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,March,Tuesday,4 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Wednesday,9 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Wednesday,10 AM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,March,Wednesday,2 PM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,March,Thursday,2 PM,Weekday
SPACEBOY BABY GIFT SET,1,24.96,24.96,2011,March,Friday,12 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,March,Monday,4 PM,Weekday
SPACEBOY BABY GIFT SET,18,14.95,269.1,2011,March,Tuesday,11 AM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,March,Wednesday,11 AM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,March,Thursday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Sunday,11 AM,Weekend
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,April,Tuesday,1 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Wednesday,9 AM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,April,Thursday,11 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Thursday,1 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Sunday,2 PM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Monday,1 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,April,Monday,2 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,April,Tuesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Wednesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Wednesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,April,Wednesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,April,Thursday,4 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Thursday,4 PM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,April,Thursday,6 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Friday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Thursday,7 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,April,Wednesday,1 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Tuesday,8 AM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,May,Wednesday,3 PM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,May,Thursday,5 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,May,Friday,12 PM,Weekday
SPACEBOY BABY GIFT SET,1,24.96,24.96,2011,May,Friday,4 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Friday,7 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Friday,7 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,May,Sunday,11 AM,Weekend
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,May,Thursday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Thursday,4 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Friday,11 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Sunday,12 PM,Weekend
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,May,Monday,9 AM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,May,Thursday,11 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Friday,11 AM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,May,Monday,9 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Monday,2 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,May,Wednesday,11 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,May,Tuesday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,24.96,24.96,2011,June,Thursday,5 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Friday,9 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Sunday,10 AM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Sunday,3 PM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Thursday,5 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,June,Friday,12 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Sunday,10 AM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Sunday,12 PM,Weekend
SPACEBOY BABY GIFT SET,4,16.95,67.8,2011,June,Monday,9 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Thursday,5 PM,Weekday
SPACEBOY BABY GIFT SET,6,14.95,89.7,2011,June,Friday,3 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,June,Monday,12 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Tuesday,9 AM,Weekday
SPACEBOY BABY GIFT SET,3,16.95,50.85,2011,June,Tuesday,2 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,June,Monday,12 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,June,Tuesday,11 AM,Weekday
SPACEBOY BABY GIFT SET,2,24.96,49.92,2011,July,Monday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Wednesday,1 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Friday,4 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Sunday,12 PM,Weekend
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Tuesday,2 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Tuesday,5 PM,Weekday
SPACEBOY BABY GIFT SET,1,16.95,16.95,2011,July,Wednesday,10 AM,Weekday
SPACEBOY BABY GIFT SET,1,24.96,24.96,2011,July,Friday,4 PM,Weekday
SPACEBOY BABY GIFT SET,2,16.95,33.9,2011,July,Monday,1 PM,Weekday
