Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,September,Tuesday,10 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,September,Thursday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,September,Sunday,12 PM,Weekend
SPACEBOY ROCKET LOLLY MAKERS,48,2.08,99.84,2011,September,Tuesday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,2,2.08,4.16,2011,September,Tuesday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,96,1.79,171.84,2011,September,Tuesday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,12,2.08,24.96,2011,September,Thursday,9 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,September,Thursday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,4.13,4.13,2011,September,Thursday,4 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,3,2.08,6.24,2011,September,Sunday,3 PM,Weekend
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,September,Monday,12 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,September,Tuesday,10 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,September,Tuesday,12 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,September,Thursday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,September,Sunday,2 PM,Weekend
SPACEBOY ROCKET LOLLY MAKERS,24,2.08,49.92,2011,September,Monday,10 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,September,Tuesday,2 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,2,4.13,8.26,2011,September,Tuesday,6 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,2,2.08,4.16,2011,February,Sunday,1 PM,Weekend
SPACEBOY ROCKET LOLLY MAKERS,1,4.13,4.13,2011,February,Monday,4 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,4.13,4.13,2011,February,Tuesday,4 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,February,Wednesday,9 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,96,1.79,171.84,2011,February,Wednesday,12 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,February,Wednesday,1 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,12,2.08,24.96,2011,February,Wednesday,3 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,February,Thursday,9 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,February,Friday,11 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,6,2.08,12.48,2011,February,Friday,1 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,4.13,4.13,2011,February,Tuesday,4 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,12,2.08,24.96,2011,February,Wednesday,10 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,12,2.08,24.96,2011,February,Friday,9 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,February,Friday,3 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,2,4.13,8.26,2011,February,Tuesday,4 PM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,1,2.08,2.08,2011,February,Wednesday,10 AM,Weekday
SPACEBOY ROCKET LOLLY MAKERS,2,2.08,4.16,2011,February,Wednesday,11 AM,Weekday
