Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Thursday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Friday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,11 AM,Weekend
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,12 PM,Weekend
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,3 PM,Weekend
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Monday,4 PM,Weekday
SPACEBOY TV DINNER TRAY,2,11.02,22.04,2010,December,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Tuesday,6 PM,Weekday
SPACEBOY TV DINNER TRAY,2,4.95,9.9,2010,December,Wednesday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Thursday,7 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Friday,12 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,12 PM,Weekend
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Tuesday,12 PM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2010,December,Wednesday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Wednesday,4 PM,Weekday
SPACEBOY TV DINNER TRAY,2,4.95,9.9,2010,December,Thursday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2010,December,Thursday,5 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Friday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,2 PM,Weekend
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2010,December,Sunday,3 PM,Weekend
SPACEBOY TV DINNER TRAY,6,4.95,29.7,2010,December,Monday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Monday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Monday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,16,4.25,68.0,2010,December,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,11.02,11.02,2010,December,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,January,Tuesday,12 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,January,Sunday,11 AM,Weekend
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,January,Thursday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,January,Friday,10 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,January,Tuesday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,January,Tuesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,January,Tuesday,5 PM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,January,Wednesday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,16,4.25,68.0,2011,January,Friday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,January,Monday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,January,Monday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,February,Wednesday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,February,Thursday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,February,Friday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,February,Monday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,February,Wednesday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,February,Friday,10 AM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,February,Friday,10 AM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,February,Friday,12 PM,Weekday
SPACEBOY TV DINNER TRAY,2,4.95,9.9,2011,February,Monday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,6,4.95,29.7,2011,February,Tuesday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,February,Friday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,March,Thursday,2 PM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,March,Monday,10 AM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,March,Thursday,1 PM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,March,Wednesday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,3,4.95,14.85,2011,March,Thursday,9 AM,Weekday
SPACEBOY TV DINNER TRAY,1,4.95,4.95,2011,March,Friday,11 AM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,March,Friday,3 PM,Weekday
SPACEBOY TV DINNER TRAY,1,10.79,10.79,2011,April,Friday,3 PM,Weekday
