Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
STAR  T-LIGHT HOLDER,4,1.45,5.8,2010,December,Wednesday,12 PM,Weekday
STAR  T-LIGHT HOLDER,1,1.45,1.45,2010,December,Wednesday,12 PM,Weekday
STAR  T-LIGHT HOLDER,3,2.98,8.94,2010,December,Friday,11 AM,Weekday
STAR  T-LIGHT HOLDER,24,1.45,34.8,2010,December,Friday,2 PM,Weekday
STAR  T-LIGHT HOLDER,5,2.98,14.9,2010,December,Monday,10 AM,Weekday
STAR  T-LIGHT HOLDER,1,2.98,2.98,2010,December,Monday,4 PM,Weekday
STAR  T-LIGHT HOLDER,3,2.98,8.94,2010,December,Tuesday,3 PM,Weekday
STAR  T-LIGHT HOLDER,1,2.98,2.98,2010,December,Wednesday,2 PM,Weekday
STAR  T-LIGHT HOLDER,12,1.45,17.4,2010,December,Wednesday,4 PM,Weekday
STAR  T-LIGHT HOLDER,3,2.98,8.94,2010,December,Thursday,2 PM,Weekday
STAR  T-LIGHT HOLDER,1,2.98,2.98,2010,December,Friday,2 PM,Weekday
STAR  T-LIGHT HOLDER,4,1.45,5.8,2010,December,Sunday,4 PM,Weekend
STAR  T-LIGHT HOLDER,12,1.45,17.4,2010,December,Monday,12 PM,Weekday
STAR  T-LIGHT HOLDER,12,1.45,17.4,2011,January,Thursday,3 PM,Weekday
STAR  T-LIGHT HOLDER,4,2.98,11.92,2011,January,Wednesday,9 AM,Weekday
STAR  T-LIGHT HOLDER,3,2.98,8.94,2011,January,Wednesday,3 PM,Weekday
STAR  T-LIGHT HOLDER,1,2.92,2.92,2011,February,Tuesday,10 AM,Weekday
STAR  T-LIGHT HOLDER,2,1.45,2.9,2011,April,Tuesday,2 PM,Weekday
STAR  T-LIGHT HOLDER,12,1.45,17.4,2011,August,Sunday,12 PM,Weekend
STAR  T-LIGHT HOLDER,12,1.45,17.4,2011,September,Sunday,1 PM,Weekend
STAR  T-LIGHT HOLDER,1,1.45,1.45,2011,February,Sunday,10 AM,Weekend
STAR  T-LIGHT HOLDER,1,1.45,1.45,2011,February,Sunday,10 AM,Weekend
STAR  T-LIGHT HOLDER,2,2.92,5.84,2011,February,Monday,4 PM,Weekday
STAR  T-LIGHT HOLDER,2,1.45,2.9,2011,February,Sunday,12 PM,Weekend
STAR  T-LIGHT HOLDER,12,1.45,17.4,2011,February,Sunday,12 PM,Weekend
STAR  T-LIGHT HOLDER,2,1.45,2.9,2011,February,Sunday,3 PM,Weekend
STAR  T-LIGHT HOLDER,2,1.45,2.9,2011,January,Sunday,11 AM,Weekend
STAR  T-LIGHT HOLDER,1,1.45,1.45,2011,January,Friday,12 PM,Weekday
STAR  T-LIGHT HOLDER,1,1.45,1.45,2011,January,Monday,1 PM,Weekday
STAR  T-LIGHT HOLDER,12,1.45,17.4,2011,January,Tuesday,2 PM,Weekday
STAR  T-LIGHT HOLDER,3,1.45,4.35,2011,January,Wednesday,12 PM,Weekday
