Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Friday,5 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,9 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,August,Wednesday,4 PM,Weekday
STORAGE TIN VINTAGE DOILY,2,2.89,5.78,2011,August,Thursday,2 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Thursday,5 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Friday,11 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Tuesday,1 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Tuesday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,August,Wednesday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,2 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Thursday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,2,2.89,5.78,2011,August,Sunday,2 PM,Weekend
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Sunday,3 PM,Weekend
STORAGE TIN VINTAGE DOILY,24,2.89,69.36,2011,August,Monday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Monday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Tuesday,9 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Tuesday,1 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Tuesday,4 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Tuesday,5 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Tuesday,5 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Wednesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,11 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,4 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Thursday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Friday,11 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Friday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Sunday,12 PM,Weekend
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,August,Sunday,2 PM,Weekend
STORAGE TIN VINTAGE DOILY,2,5.79,11.58,2011,August,Tuesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,August,Tuesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,August,Tuesday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,9 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,August,Wednesday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,September,Thursday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,September,Thursday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,September,Friday,9 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,September,Friday,9 AM,Weekday
STORAGE TIN VINTAGE DOILY,4,2.89,11.56,2011,September,Sunday,11 AM,Weekend
STORAGE TIN VINTAGE DOILY,2,2.89,5.78,2011,September,Sunday,12 PM,Weekend
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,September,Sunday,4 PM,Weekend
STORAGE TIN VINTAGE DOILY,96,2.49,239.04,2011,September,Monday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,5.79,5.79,2011,September,Monday,3 PM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,September,Tuesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,1,2.89,2.89,2011,September,Tuesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,6,2.89,17.34,2011,September,Wednesday,10 AM,Weekday
STORAGE TIN VINTAGE DOILY,2,2.89,5.78,2011,September,Thursday,12 PM,Weekday
STORAGE TIN VINTAGE DOILY,2,2.89,5.78,2011,September,Thursday,12 PM,Weekday
