Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2010,December,Wednesday,1 PM,Weekday
STRING OF STARS CARD HOLDER,1,5.91,5.91,2010,December,Wednesday,2 PM,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2010,December,Tuesday,4 PM,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2010,December,Friday,1 PM,Weekday
STRING OF STARS CARD HOLDER,1,5.91,5.91,2010,December,Friday,2 PM,Weekday
STRING OF STARS CARD HOLDER,1,2.95,2.95,2011,January,Wednesday,1 PM,Weekday
STRING OF STARS CARD HOLDER,1,2.95,2.95,2011,January,Sunday,4 PM,Weekend
STRING OF STARS CARD HOLDER,2,2.95,5.9,2011,June,Wednesday,2 PM,Weekday
STRING OF STARS CARD HOLDER,5,5.79,28.95,2011,August,Tuesday,10 AM,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2011,February,Monday,9 AM,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2011,February,Thursday,10 AM,Weekday
STRING OF STARS CARD HOLDER,4,2.95,11.8,2011,January,Thursday,3 PM,Weekday
STRING OF STARS CARD HOLDER,6,2.95,17.7,2011,January,Friday,2 PM,Weekday
STRING OF STARS CARD HOLDER,3,2.95,8.85,2011,January,Thursday,2 PM,Weekday
STRING OF STARS CARD HOLDER,24,2.95,70.8,2011,January,Monday,12 PM,Weekday
