Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Monday,4 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Friday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,2,2.51,5.02,2010,December,Friday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Friday,5 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.55,2.55,2010,December,Friday,5 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2010,December,Thursday,1 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Wednesday,11 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Wednesday,4 PM,Weekday
SUMMER DAISIES BAG CHARM,5,2.51,12.55,2011,January,Thursday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Friday,1 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Monday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Monday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.51,2.51,2011,January,Wednesday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,4,2.51,10.04,2011,January,Wednesday,3 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,January,Friday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,6,2.55,15.3,2011,January,Wednesday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,January,Monday,1 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,February,Monday,2 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,February,Wednesday,12 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,February,Monday,6 PM,Weekday
SUMMER DAISIES BAG CHARM,3,2.46,7.38,2011,March,Tuesday,3 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,March,Tuesday,3 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,March,Wednesday,4 PM,Weekday
SUMMER DAISIES BAG CHARM,2,2.46,4.92,2011,March,Thursday,6 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,March,Thursday,6 PM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,March,Tuesday,9 AM,Weekday
SUMMER DAISIES BAG CHARM,1,2.46,2.46,2011,March,Wednesday,3 PM,Weekday
