Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,August,Wednesday,4 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Thursday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Friday,1 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Sunday,11 AM,Weekend
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Sunday,12 PM,Weekend
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Sunday,4 PM,Weekend
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Monday,10 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,3,9.95,29.85,2011,September,Thursday,10 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Thursday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Friday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,19.96,19.96,2011,September,Friday,4 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Sunday,11 AM,Weekend
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Sunday,3 PM,Weekend
SWEETHEART 3 TIER CAKE STAND,3,9.95,29.85,2011,September,Monday,12 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Monday,12 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Monday,1 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,12,8.5,102.0,2011,September,Monday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,19.96,19.96,2011,September,Tuesday,1 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Tuesday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,19.96,19.96,2011,September,Thursday,10 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,3,9.95,29.85,2011,September,Thursday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Friday,1 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Sunday,12 PM,Weekend
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Sunday,1 PM,Weekend
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Tuesday,10 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Tuesday,12 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Wednesday,12 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Wednesday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Wednesday,2 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,3,9.95,29.85,2011,September,Wednesday,3 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Wednesday,3 PM,Weekday
SWEETHEART 3 TIER CAKE STAND,2,9.95,19.9,2011,September,Friday,9 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Friday,10 AM,Weekday
SWEETHEART 3 TIER CAKE STAND,1,9.95,9.95,2011,September,Friday,2 PM,Weekday
