Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2010,December,Monday,3 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,February,Tuesday,12 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,March,Wednesday,4 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,March,Thursday,12 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,April,Friday,11 AM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,April,Thursday,7 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,April,Tuesday,2 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,99.96,99.96,2011,May,Tuesday,4 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,May,Wednesday,12 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,May,Wednesday,3 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,May,Tuesday,5 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,May,Sunday,3 PM,Weekend
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,June,Monday,3 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,July,Sunday,12 PM,Weekend
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,July,Friday,12 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,August,Thursday,1 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,August,Wednesday,4 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,2,19.95,39.9,2011,September,Monday,4 PM,Weekday
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,February,Sunday,11 AM,Weekend
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,February,Sunday,12 PM,Weekend
SWEETHEART CREAM STEEL TABLE RECT,1,19.95,19.95,2011,January,Sunday,3 PM,Weekend
