Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.46,2.46,2011,January,Thursday,6 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,4,2.46,9.84,2011,January,Thursday,6 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.95,2.95,2011,February,Monday,5 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,48,1.25,60.0,2011,February,Thursday,2 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,24,2.55,61.2,2011,March,Friday,9 AM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,200,2.55,510.0,2011,March,Thursday,10 AM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,March,Wednesday,2 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,March,Monday,9 AM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,5.79,11.58,2011,April,Tuesday,3 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,May,Sunday,3 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,June,Tuesday,12 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,June,Sunday,1 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,July,Sunday,4 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,July,Friday,4 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,4,2.95,11.8,2011,July,Sunday,1 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,September,Thursday,4 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,September,Wednesday,4 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,September,Thursday,4 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,September,Thursday,1 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,February,Friday,3 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,February,Friday,3 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,5.79,11.58,2011,February,Monday,5 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,12,2.95,35.4,2011,February,Tuesday,2 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,48,2.55,122.4,2011,February,Sunday,1 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,240,2.95,708.0,2011,February,Tuesday,10 AM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,6,2.95,17.7,2011,February,Wednesday,1 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.95,2.95,2011,February,Wednesday,1 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,February,Thursday,7 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.95,2.95,2011,February,Sunday,2 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,February,Monday,2 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,January,Thursday,7 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.95,2.95,2011,January,Sunday,12 PM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,January,Tuesday,6 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,2,2.95,5.9,2011,January,Sunday,11 AM,Weekend
SWISS ROLL TOWEL PINK  SPOTS,4,5.79,23.16,2011,January,Monday,3 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,January,Tuesday,5 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,54,2.55,137.7,2011,January,Wednesday,3 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,2.95,2.95,2011,January,Thursday,2 PM,Weekday
SWISS ROLL TOWEL PINK  SPOTS,1,5.79,5.79,2011,December,Monday,11 AM,Weekday
