Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Monday,10 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Tuesday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,3,1.66,4.98,2010,December,Tuesday,6 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.66,3.32,2010,December,Thursday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,5,1.65,8.25,2010,December,Thursday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.66,3.32,2010,December,Friday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,12,1.65,19.8,2010,December,Wednesday,11 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,4,1.66,6.64,2010,December,Friday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Friday,5 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Monday,10 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2010,December,Monday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,4,1.66,6.64,2010,December,Monday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,3,1.66,4.98,2010,December,Thursday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,4,1.66,6.64,2011,January,Tuesday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.66,1.66,2011,January,Friday,11 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,11,1.66,18.26,2011,January,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.66,3.32,2011,January,Monday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,8,1.66,13.28,2011,January,Wednesday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.63,3.26,2011,January,Thursday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,6,1.63,9.78,2011,January,Monday,5 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Monday,5 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,3,1.63,4.89,2011,January,Tuesday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,6,1.63,9.78,2011,January,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,January,Thursday,11 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,12,1.65,19.8,2011,January,Thursday,12 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.65,1.65,2011,January,Thursday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,20,1.63,32.6,2011,January,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,13,1.63,21.19,2011,January,Monday,12 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.65,3.3,2011,February,Monday,2 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,4,1.65,6.6,2011,February,Wednesday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,February,Monday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,February,Monday,12 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,12,1.65,19.8,2011,February,Tuesday,12 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,4,1.65,6.6,2011,February,Tuesday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.63,3.26,2011,February,Tuesday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.65,1.65,2011,February,Sunday,10 AM,Weekend
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.63,3.26,2011,February,Monday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,10,1.63,16.3,2011,March,Tuesday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,March,Friday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.65,3.3,2011,March,Wednesday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,March,Thursday,6 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,March,Thursday,6 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.63,3.26,2011,March,Thursday,6 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.65,1.65,2011,March,Friday,12 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,March,Sunday,11 AM,Weekend
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,March,Tuesday,9 AM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.65,3.3,2011,March,Tuesday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,April,Thursday,7 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,April,Friday,3 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.65,1.65,2011,April,Sunday,4 PM,Weekend
S/4 IVORY MINI ROSE CANDLE IN BOWL,12,1.65,19.8,2011,April,Wednesday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,96,1.65,158.4,2011,April,Friday,4 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,April,Monday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,10,1.63,16.3,2011,April,Monday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,1,1.63,1.63,2011,April,Monday,1 PM,Weekday
S/4 IVORY MINI ROSE CANDLE IN BOWL,2,1.63,3.26,2011,April,Monday,1 PM,Weekday
