Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Thursday,10 AM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Thursday,6 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Friday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Sunday,1 PM,Weekend
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2010,December,Monday,10 AM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Monday,10 AM,Weekday
TEA PARTY BIRTHDAY CARD,2,0.85,1.7,2010,December,Monday,4 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Tuesday,10 AM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2010,December,Tuesday,3 PM,Weekday
TEA PARTY BIRTHDAY CARD,2,0.85,1.7,2010,December,Wednesday,2 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2010,December,Thursday,3 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2010,December,Monday,9 AM,Weekday
TEA PARTY BIRTHDAY CARD,2,0.85,1.7,2010,December,Friday,2 PM,Weekday
TEA PARTY BIRTHDAY CARD,4,0.85,3.4,2010,December,Monday,10 AM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2010,December,Monday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2010,December,Tuesday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,4,0.85,3.4,2010,December,Thursday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,2,0.85,1.7,2011,January,Wednesday,11 AM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,11 AM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,12 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,2 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Friday,11 AM,Weekday
TEA PARTY BIRTHDAY CARD,24,0.42,10.08,2011,January,Friday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,4,0.85,3.4,2011,January,Friday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Sunday,11 AM,Weekend
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Monday,11 AM,Weekday
TEA PARTY BIRTHDAY CARD,24,0.42,10.08,2011,January,Monday,2 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Tuesday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,3 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Friday,1 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.83,0.83,2011,January,Monday,5 PM,Weekday
TEA PARTY BIRTHDAY CARD,2,0.83,1.66,2011,January,Tuesday,3 PM,Weekday
TEA PARTY BIRTHDAY CARD,24,0.42,10.08,2011,January,Wednesday,9 AM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Wednesday,12 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.83,0.83,2011,January,Thursday,6 PM,Weekday
TEA PARTY BIRTHDAY CARD,1,0.83,0.83,2011,January,Friday,5 PM,Weekday
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Sunday,1 PM,Weekend
TEA PARTY BIRTHDAY CARD,12,0.42,5.04,2011,January,Sunday,2 PM,Weekend
TEA PARTY BIRTHDAY CARD,1,0.83,0.83,2011,January,Monday,9 AM,Weekday
