Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TEA TIME KITCHEN APRON,1,12.72,12.72,2010,December,Wednesday,5 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Thursday,8 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Thursday,4 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2010,December,Thursday,6 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2010,December,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Monday,11 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Wednesday,11 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Wednesday,1 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Wednesday,3 PM,Weekday
TEA TIME KITCHEN APRON,1,12.72,12.72,2010,December,Friday,9 AM,Weekday
TEA TIME KITCHEN APRON,12,5.95,71.4,2010,December,Friday,12 PM,Weekday
TEA TIME KITCHEN APRON,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2010,December,Monday,3 PM,Weekday
TEA TIME KITCHEN APRON,50,4.65,232.5,2010,December,Tuesday,9 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Wednesday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2010,December,Thursday,11 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Thursday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Thursday,3 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2010,December,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,2,12.72,25.44,2010,December,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,January,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,January,Monday,3 PM,Weekday
TEA TIME KITCHEN APRON,8,5.95,47.6,2011,January,Friday,5 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,January,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,9,5.95,53.55,2011,January,Wednesday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,January,Thursday,2 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,January,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,January,Monday,9 AM,Weekday
TEA TIME KITCHEN APRON,30,5.95,178.5,2011,January,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,January,Monday,4 PM,Weekday
TEA TIME KITCHEN APRON,8,5.95,47.6,2011,February,Friday,9 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,February,Monday,11 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Monday,4 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,February,Wednesday,1 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,February,Tuesday,1 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,February,Tuesday,2 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,February,Thursday,1 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,February,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,February,Tuesday,11 AM,Weekday
TEA TIME KITCHEN APRON,4,5.95,23.8,2011,February,Wednesday,12 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,10 AM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,10 AM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,February,Sunday,10 AM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,March,Wednesday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,March,Friday,11 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,March,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,March,Sunday,2 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,March,Sunday,3 PM,Weekend
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,March,Wednesday,1 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,March,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,March,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,March,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,April,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,4,5.95,23.8,2011,April,Friday,11 AM,Weekday
TEA TIME KITCHEN APRON,12,5.95,71.4,2011,April,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,9,5.95,53.55,2011,April,Monday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,April,Monday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,April,Friday,9 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,May,Monday,12 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,May,Wednesday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,May,Monday,9 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,May,Thursday,1 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,May,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,May,Tuesday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,May,Friday,1 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,June,Sunday,3 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,June,Sunday,3 PM,Weekend
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,June,Monday,9 AM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,June,Sunday,11 AM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,June,Thursday,11 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,June,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,June,Sunday,2 PM,Weekend
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,July,Friday,3 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,July,Monday,2 PM,Weekday
TEA TIME KITCHEN APRON,3,5.79,17.37,2011,July,Monday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.79,5.79,2011,July,Tuesday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.79,5.79,2011,July,Friday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.79,5.79,2011,July,Wednesday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.79,5.79,2011,July,Wednesday,4 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,July,Friday,1 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,July,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,July,Thursday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,August,Tuesday,10 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,August,Wednesday,11 AM,Weekday
TEA TIME KITCHEN APRON,50,4.65,232.5,2011,August,Thursday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,August,Wednesday,12 PM,Weekday
TEA TIME KITCHEN APRON,1,12.46,12.46,2011,August,Wednesday,4 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,August,Tuesday,8 AM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,August,Wednesday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,August,Thursday,10 AM,Weekday
TEA TIME KITCHEN APRON,5,5.95,29.75,2011,August,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,September,Friday,12 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Sunday,4 PM,Weekend
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,September,Tuesday,2 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,September,Sunday,3 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Sunday,3 PM,Weekend
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Monday,12 PM,Weekday
TEA TIME KITCHEN APRON,50,4.65,232.5,2011,September,Friday,4 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Sunday,12 PM,Weekend
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,September,Monday,11 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Tuesday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,September,Wednesday,2 PM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,September,Friday,2 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,September,Tuesday,10 AM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,February,Tuesday,3 PM,Weekday
TEA TIME KITCHEN APRON,27,4.65,125.55,2011,February,Sunday,1 PM,Weekend
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,February,Monday,11 AM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,February,Monday,3 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,February,Tuesday,1 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,February,Wednesday,12 PM,Weekday
TEA TIME KITCHEN APRON,2,5.95,11.9,2011,February,Friday,4 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,February,Monday,12 PM,Weekday
TEA TIME KITCHEN APRON,3,5.95,17.85,2011,January,Friday,10 AM,Weekday
TEA TIME KITCHEN APRON,1,5.95,5.95,2011,January,Monday,12 PM,Weekday
TEA TIME KITCHEN APRON,6,5.95,35.7,2011,January,Sunday,2 PM,Weekend
