Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.85,0.85,2010,December,Friday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.42,10.08,2010,December,Thursday,2 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.85,1.7,2010,December,Monday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.85,0.85,2011,January,Tuesday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,February,Thursday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,February,Monday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,96,0.12,11.52,2011,March,Monday,7 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,96,0.12,11.52,2011,March,Thursday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.83,1.66,2011,April,Monday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,96,0.12,11.52,2011,April,Wednesday,2 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.42,10.08,2011,May,Sunday,4 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,June,Sunday,2 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,144,0.12,17.28,2011,June,Thursday,2 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,June,Sunday,11 AM,Weekend
TEATIME ROUND PENCIL SHARPENER,96,0.12,11.52,2011,June,Monday,12 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.12,0.24,2011,July,Monday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Wednesday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Thursday,11 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Thursday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.83,1.66,2011,July,Thursday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,July,Friday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Sunday,1 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Monday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,July,Sunday,11 AM,Weekend
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,August,Wednesday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Thursday,12 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Thursday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Monday,8 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Tuesday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Thursday,8 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Thursday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Friday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,August,Wednesday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,August,Wednesday,5 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,48,0.12,5.76,2011,September,Monday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,September,Friday,1 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,September,Tuesday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,September,Tuesday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,September,Wednesday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,September,Thursday,11 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Wednesday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,February,Thursday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.12,0.12,2011,February,Sunday,3 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,6,0.12,0.72,2011,February,Sunday,3 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,48,0.12,5.76,2011,February,Monday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Monday,2 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,6,0.12,0.72,2011,February,Wednesday,2 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.12,0.12,2011,February,Wednesday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.12,0.12,2011,February,Wednesday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.12,0.24,2011,February,Wednesday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Thursday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.12,0.12,2011,February,Thursday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Sunday,11 AM,Weekend
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Sunday,12 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,February,Sunday,3 PM,Weekend
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,January,Tuesday,12 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,January,Thursday,10 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,January,Monday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,January,Monday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,2,0.12,0.24,2011,January,Tuesday,11 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,January,Thursday,3 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.12,0.12,2011,January,Friday,12 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,January,Tuesday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,January,Thursday,9 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,24,0.12,2.88,2011,January,Friday,11 AM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,December,Thursday,4 PM,Weekday
TEATIME ROUND PENCIL SHARPENER,1,0.83,0.83,2011,December,Thursday,9 AM,Weekday
