Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.95,1.95,2010,December,Wednesday,12 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.28,2.56,2011,January,Tuesday,1 PM,Weekday
THREE CANVAS LUGGAGE TAGS,3,1.28,3.84,2011,January,Wednesday,11 AM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.28,2.56,2011,January,Wednesday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,5,1.28,6.4,2011,January,Thursday,2 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,1.28,10.24,2011,January,Friday,11 AM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.28,2.56,2011,January,Monday,9 AM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.28,1.28,2011,January,Monday,2 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.28,1.28,2011,January,Monday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.28,2.56,2011,January,Tuesday,1 PM,Weekday
THREE CANVAS LUGGAGE TAGS,6,1.28,7.68,2011,January,Wednesday,9 AM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.28,1.28,2011,January,Wednesday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,3,1.25,3.75,2011,January,Thursday,2 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.25,2.5,2011,January,Friday,2 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.25,2.5,2011,January,Monday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.25,1.25,2011,January,Monday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.25,2.5,2011,January,Monday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.25,1.25,2011,January,Tuesday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.25,1.25,2011,January,Wednesday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,2,1.25,2.5,2011,January,Thursday,6 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.25,1.25,2011,January,Thursday,6 PM,Weekday
THREE CANVAS LUGGAGE TAGS,3,1.25,3.75,2011,January,Friday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,February,Friday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,1.95,15.6,2011,March,Thursday,12 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,1.95,1.95,2011,March,Thursday,8 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,March,Monday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,1.95,15.6,2011,May,Thursday,7 PM,Weekday
THREE CANVAS LUGGAGE TAGS,16,1.65,26.4,2011,June,Thursday,9 AM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,June,Tuesday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Tuesday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Tuesday,5 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Wednesday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,0.83,6.64,2011,July,Friday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,6,0.83,4.98,2011,July,Monday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Friday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,1.95,15.6,2011,July,Sunday,11 AM,Weekend
THREE CANVAS LUGGAGE TAGS,3,0.83,2.49,2011,July,Monday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,3,0.83,2.49,2011,July,Wednesday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Wednesday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,0.83,0.83,2011,July,Friday,9 AM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,August,Friday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,September,Wednesday,3 PM,Weekday
THREE CANVAS LUGGAGE TAGS,8,1.95,15.6,2011,February,Tuesday,2 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,January,Tuesday,6 PM,Weekday
THREE CANVAS LUGGAGE TAGS,14,1.95,27.3,2011,January,Wednesday,12 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,January,Wednesday,1 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,December,Thursday,4 PM,Weekday
THREE CANVAS LUGGAGE TAGS,1,4.13,4.13,2011,December,Monday,5 PM,Weekday
