Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TOOL BOX SOFT TOY,4,8.95,35.8,2010,December,Wednesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Wednesday,4 PM,Weekday
TOOL BOX SOFT TOY,2,16.98,33.96,2010,December,Wednesday,5 PM,Weekday
TOOL BOX SOFT TOY,6,8.95,53.7,2010,December,Sunday,11 AM,Weekend
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Sunday,4 PM,Weekend
TOOL BOX SOFT TOY,1,16.98,16.98,2010,December,Monday,10 AM,Weekday
TOOL BOX SOFT TOY,1,16.98,16.98,2010,December,Tuesday,6 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2010,December,Wednesday,1 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Tuesday,1 PM,Weekday
TOOL BOX SOFT TOY,3,8.95,26.85,2010,December,Wednesday,12 PM,Weekday
TOOL BOX SOFT TOY,6,8.95,53.7,2010,December,Thursday,1 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Thursday,4 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2010,December,Friday,3 PM,Weekday
TOOL BOX SOFT TOY,1,16.98,16.98,2010,December,Friday,5 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Friday,5 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2010,December,Friday,5 PM,Weekday
TOOL BOX SOFT TOY,1,16.98,16.98,2010,December,Monday,3 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,January,Thursday,2 PM,Weekday
TOOL BOX SOFT TOY,3,8.95,26.85,2011,January,Thursday,4 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,January,Thursday,9 AM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,January,Monday,11 AM,Weekday
TOOL BOX SOFT TOY,1,7.46,7.46,2011,January,Monday,5 PM,Weekday
TOOL BOX SOFT TOY,7,7.46,52.22,2011,January,Wednesday,3 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,January,Thursday,2 PM,Weekday
TOOL BOX SOFT TOY,3,7.46,22.38,2011,January,Thursday,6 PM,Weekday
TOOL BOX SOFT TOY,1,7.46,7.46,2011,January,Friday,5 PM,Weekday
TOOL BOX SOFT TOY,5,8.95,44.75,2011,January,Friday,1 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,February,Tuesday,10 AM,Weekday
TOOL BOX SOFT TOY,5,8.95,44.75,2011,February,Tuesday,1 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Wednesday,11 AM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,February,Friday,11 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Friday,11 AM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,March,Tuesday,4 PM,Weekday
TOOL BOX SOFT TOY,4,8.95,35.8,2011,March,Thursday,12 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,March,Thursday,6 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,March,Tuesday,10 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,March,Wednesday,3 PM,Weekday
TOOL BOX SOFT TOY,3,9.95,29.85,2011,March,Tuesday,4 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,April,Tuesday,1 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,April,Thursday,4 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,May,Tuesday,4 PM,Weekday
TOOL BOX SOFT TOY,4,8.95,35.8,2011,May,Tuesday,1 PM,Weekday
TOOL BOX SOFT TOY,3,8.95,26.85,2011,May,Tuesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,June,Wednesday,12 PM,Weekday
TOOL BOX SOFT TOY,3,8.95,26.85,2011,June,Sunday,12 PM,Weekend
TOOL BOX SOFT TOY,1,8.95,8.95,2011,June,Tuesday,4 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,June,Tuesday,5 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,June,Wednesday,10 AM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,July,Monday,10 AM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,July,Tuesday,5 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,July,Friday,4 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,July,Tuesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,July,Friday,11 AM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,July,Wednesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,August,Thursday,4 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Monday,12 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Tuesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Wednesday,12 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Wednesday,12 PM,Weekday
TOOL BOX SOFT TOY,2,8.95,17.9,2011,August,Friday,11 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Tuesday,4 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,August,Thursday,11 AM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,September,Monday,3 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Monday,9 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Thursday,12 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Monday,5 PM,Weekday
TOOL BOX SOFT TOY,4,8.95,35.8,2011,February,Tuesday,10 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Tuesday,2 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Tuesday,12 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Tuesday,5 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Tuesday,5 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Wednesday,10 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Monday,3 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Thursday,10 AM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Thursday,4 PM,Weekday
TOOL BOX SOFT TOY,1,8.95,8.95,2011,February,Sunday,1 PM,Weekend
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Monday,2 PM,Weekday
TOOL BOX SOFT TOY,1,16.63,16.63,2011,February,Monday,2 PM,Weekday
