Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Wednesday,2 PM,Weekday
TOY TIDY SPACEBOY,5,2.1,10.5,2010,December,Thursday,2 PM,Weekday
TOY TIDY SPACEBOY,2,4.21,8.42,2010,December,Friday,11 AM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2010,December,Friday,12 PM,Weekday
TOY TIDY SPACEBOY,2,2.1,4.2,2010,December,Sunday,11 AM,Weekend
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Monday,9 AM,Weekday
TOY TIDY SPACEBOY,5,2.1,10.5,2010,December,Monday,11 AM,Weekday
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Tuesday,3 PM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2010,December,Wednesday,1 PM,Weekday
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Wednesday,2 PM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2010,December,Thursday,11 AM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2010,December,Thursday,11 AM,Weekday
TOY TIDY SPACEBOY,4,2.1,8.4,2010,December,Sunday,11 AM,Weekend
TOY TIDY SPACEBOY,5,2.1,10.5,2010,December,Monday,9 AM,Weekday
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Monday,9 AM,Weekday
TOY TIDY SPACEBOY,15,2.1,31.5,2010,December,Thursday,9 AM,Weekday
TOY TIDY SPACEBOY,5,2.1,10.5,2010,December,Friday,2 PM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2010,December,Sunday,3 PM,Weekend
TOY TIDY SPACEBOY,1,4.21,4.21,2010,December,Monday,3 PM,Weekday
TOY TIDY SPACEBOY,2,2.1,4.2,2010,December,Monday,4 PM,Weekday
TOY TIDY SPACEBOY,1,2.1,2.1,2011,January,Tuesday,11 AM,Weekday
TOY TIDY SPACEBOY,1,4.21,4.21,2011,January,Tuesday,1 PM,Weekday
TOY TIDY SPACEBOY,10,2.1,21.0,2011,January,Thursday,2 PM,Weekday
TOY TIDY SPACEBOY,5,2.1,10.5,2011,January,Sunday,12 PM,Weekend
