Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TRADITIONAL MODELLING CLAY,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
TRADITIONAL MODELLING CLAY,1,2.51,2.51,2010,December,Wednesday,5 PM,Weekday
TRADITIONAL MODELLING CLAY,3,1.25,3.75,2010,December,Thursday,11 AM,Weekday
TRADITIONAL MODELLING CLAY,1,1.25,1.25,2010,December,Thursday,11 AM,Weekday
TRADITIONAL MODELLING CLAY,2,1.25,2.5,2010,December,Friday,11 AM,Weekday
TRADITIONAL MODELLING CLAY,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
TRADITIONAL MODELLING CLAY,24,1.25,30.0,2010,December,Friday,2 PM,Weekday
TRADITIONAL MODELLING CLAY,5,1.25,6.25,2010,December,Sunday,11 AM,Weekend
TRADITIONAL MODELLING CLAY,6,1.25,7.5,2010,December,Sunday,12 PM,Weekend
TRADITIONAL MODELLING CLAY,2,1.25,2.5,2010,December,Sunday,12 PM,Weekend
TRADITIONAL MODELLING CLAY,8,1.25,10.0,2010,December,Sunday,1 PM,Weekend
TRADITIONAL MODELLING CLAY,2,1.25,2.5,2010,December,Sunday,1 PM,Weekend
TRADITIONAL MODELLING CLAY,1,1.25,1.25,2010,December,Sunday,2 PM,Weekend
TRADITIONAL MODELLING CLAY,3,1.25,3.75,2010,December,Monday,2 PM,Weekday
TRADITIONAL MODELLING CLAY,3,2.51,7.53,2010,December,Monday,4 PM,Weekday
TRADITIONAL MODELLING CLAY,3,1.25,3.75,2010,December,Tuesday,2 PM,Weekday
TRADITIONAL MODELLING CLAY,3,2.51,7.53,2010,December,Tuesday,6 PM,Weekday
TRADITIONAL MODELLING CLAY,3,1.25,3.75,2010,December,Wednesday,12 PM,Weekday
TRADITIONAL MODELLING CLAY,250,1.06,265.0,2010,December,Thursday,11 AM,Weekday
TRADITIONAL MODELLING CLAY,9,1.25,11.25,2010,December,Thursday,1 PM,Weekday
TRADITIONAL MODELLING CLAY,24,1.25,30.0,2010,December,Thursday,2 PM,Weekday
TRADITIONAL MODELLING CLAY,1,1.25,1.25,2010,December,Thursday,3 PM,Weekday
TRADITIONAL MODELLING CLAY,24,1.25,30.0,2010,December,Friday,9 AM,Weekday
