Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Wednesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.36,8.64,2011,February,Thursday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,February,Thursday,1 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,February,Thursday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Thursday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Thursday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,10,0.42,4.2,2011,February,Sunday,10 AM,Weekend
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,February,Sunday,12 PM,Weekend
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Sunday,1 PM,Weekend
TRAVEL CARD WALLET KEEP CALM,6,0.42,2.52,2011,February,Monday,9 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,5,0.83,4.15,2011,February,Monday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,5,0.83,4.15,2011,February,Monday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,9 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,10 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,11 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,11 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,February,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,5,0.83,4.15,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Tuesday,5 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,February,Wednesday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,4,0.42,1.68,2011,February,Thursday,10 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,48,0.42,20.16,2011,February,Thursday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,10,0.42,4.2,2011,February,Thursday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,February,Thursday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Sunday,1 PM,Weekend
TRAVEL CARD WALLET KEEP CALM,4,0.83,3.32,2011,February,Monday,10 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,February,Monday,10 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,February,Monday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,10,0.83,8.3,2011,February,Monday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,February,Monday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,February,Monday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Tuesday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,March,Wednesday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,3,0.42,1.26,2011,March,Wednesday,5 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,March,Thursday,9 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Thursday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,March,Thursday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,48,0.42,20.16,2011,March,Thursday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,March,Thursday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Thursday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Friday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,48,0.42,20.16,2011,March,Friday,5 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,3,0.42,1.26,2011,March,Sunday,11 AM,Weekend
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Monday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Tuesday,10 AM,Weekday
TRAVEL CARD WALLET KEEP CALM,4,0.42,1.68,2011,March,Tuesday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Wednesday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,5,0.83,4.15,2011,March,Friday,4 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Sunday,10 AM,Weekend
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Sunday,10 AM,Weekend
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Monday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,March,Monday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,March,Tuesday,2 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Wednesday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,March,Thursday,1 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Thursday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,March,Thursday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,March,Thursday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Thursday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,1,0.83,0.83,2011,March,Thursday,6 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,8,0.42,3.36,2011,March,Thursday,7 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.42,0.84,2011,March,Thursday,7 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Friday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Friday,12 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,12,0.42,5.04,2011,March,Friday,3 PM,Weekday
TRAVEL CARD WALLET KEEP CALM,2,0.83,1.66,2011,March,Sunday,11 AM,Weekend
TRAVEL CARD WALLET KEEP CALM,24,0.42,10.08,2011,March,Sunday,4 PM,Weekend
TRAVEL CARD WALLET KEEP CALM,1,0.42,0.42,2011,March,Monday,1 PM,Weekday
