Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,February,Wednesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,February,Friday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,6,0.42,2.52,2011,February,Monday,9 AM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,February,Monday,6 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.83,1.66,2011,February,Monday,6 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.83,1.66,2011,February,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,February,Wednesday,10 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,February,Wednesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,February,Thursday,6 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,February,Monday,9 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,March,Tuesday,11 AM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,March,Wednesday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,March,Wednesday,5 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,March,Thursday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,March,Thursday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,March,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,March,Monday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,March,Monday,5 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,March,Wednesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,March,Thursday,6 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,March,Friday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,March,Friday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,4,0.42,1.68,2011,March,Sunday,1 PM,Weekend
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,March,Monday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,March,Wednesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,March,Thursday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,March,Monday,10 AM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,March,Monday,11 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,March,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,March,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,March,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,April,Friday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,48,0.42,20.16,2011,April,Tuesday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,April,Thursday,8 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,April,Thursday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,April,Thursday,7 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Thursday,7 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.42,0.84,2011,April,Sunday,2 PM,Weekend
TRAVEL CARD WALLET PANTRY,4,0.42,1.68,2011,April,Thursday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Friday,10 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,April,Sunday,10 AM,Weekend
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,3,0.83,2.49,2011,April,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,10,0.42,4.2,2011,April,Monday,2 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Monday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,April,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.83,1.66,2011,April,Thursday,6 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,April,Tuesday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,3,0.42,1.26,2011,May,Sunday,11 AM,Weekend
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,May,Tuesday,10 AM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,May,Tuesday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.83,1.66,2011,May,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,May,Tuesday,4 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,May,Thursday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,May,Monday,1 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,May,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,5,0.42,2.1,2011,May,Tuesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.83,0.83,2011,May,Wednesday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,May,Thursday,9 AM,Weekday
TRAVEL CARD WALLET PANTRY,2,0.83,1.66,2011,May,Friday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,24,0.42,10.08,2011,May,Monday,12 PM,Weekday
TRAVEL CARD WALLET PANTRY,5,0.42,2.1,2011,May,Monday,3 PM,Weekday
TRAVEL CARD WALLET PANTRY,1,0.42,0.42,2011,May,Tuesday,2 PM,Weekday
