Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TRIPLE WIRE HOOK PINK HEART,2,4.15,8.3,2011,April,Tuesday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.15,4.15,2011,April,Thursday,10 AM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.15,4.15,2011,May,Sunday,2 PM,Weekend
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,May,Friday,9 AM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.15,4.15,2011,May,Wednesday,2 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,12,4.15,49.8,2011,May,Tuesday,2 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,June,Monday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,June,Thursday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,3,4.13,12.39,2011,June,Thursday,3 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,2,4.15,8.3,2011,July,Sunday,3 PM,Weekend
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,July,Monday,12 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,2,4.13,8.26,2011,July,Wednesday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.13,4.13,2011,July,Tuesday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.15,4.15,2011,July,Wednesday,11 AM,Weekday
TRIPLE WIRE HOOK PINK HEART,2,4.13,8.26,2011,July,Wednesday,4 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,4.15,4.15,2011,August,Monday,11 AM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,8.29,8.29,2011,August,Wednesday,12 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,August,Thursday,5 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,4,4.15,16.6,2011,August,Monday,2 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,3,4.15,12.45,2011,February,Wednesday,12 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,8.29,8.29,2011,January,Wednesday,3 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,8.29,8.29,2011,December,Monday,11 AM,Weekday
TRIPLE WIRE HOOK PINK HEART,1,0.79,0.79,2011,December,Monday,2 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,7,0.79,5.53,2011,December,Wednesday,2 PM,Weekday
TRIPLE WIRE HOOK PINK HEART,12,0.79,9.48,2011,December,Friday,8 AM,Weekday
