Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TROPICAL HOLIDAY PURSE,2,2.95,5.9,2010,December,Sunday,12 PM,Weekend
TROPICAL HOLIDAY PURSE,1,2.95,2.95,2010,December,Wednesday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,3,2.95,8.85,2010,December,Tuesday,5 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,June,Wednesday,5 PM,Weekday
TROPICAL HOLIDAY PURSE,2,2.46,4.92,2011,June,Monday,3 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,June,Wednesday,3 PM,Weekday
TROPICAL HOLIDAY PURSE,2,2.46,4.92,2011,June,Thursday,3 PM,Weekday
TROPICAL HOLIDAY PURSE,2,2.46,4.92,2011,July,Monday,10 AM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,July,Thursday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,2,2.46,4.92,2011,July,Monday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,3,2.46,7.38,2011,July,Tuesday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,5,2.46,12.3,2011,July,Friday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,2,2.46,4.92,2011,July,Wednesday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,July,Wednesday,3 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,August,Tuesday,4 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,August,Thursday,5 PM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
TROPICAL HOLIDAY PURSE,1,2.46,2.46,2011,August,Tuesday,10 AM,Weekday
