Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TUMBLER BAROQUE,12,0.39,4.68,2011,April,Monday,4 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,April,Sunday,2 PM,Weekend
TUMBLER BAROQUE,24,0.39,9.36,2011,April,Tuesday,2 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,April,Thursday,12 PM,Weekday
TUMBLER BAROQUE,48,0.39,18.72,2011,April,Wednesday,11 AM,Weekday
TUMBLER BAROQUE,1,5.79,5.79,2011,May,Thursday,3 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,May,Monday,9 AM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,May,Monday,12 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,May,Wednesday,10 AM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,May,Friday,12 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,May,Friday,5 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,May,Thursday,1 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,May,Monday,11 AM,Weekday
TUMBLER BAROQUE,12,0.39,4.68,2011,May,Wednesday,4 PM,Weekday
TUMBLER BAROQUE,1,5.79,5.79,2011,June,Wednesday,5 PM,Weekday
TUMBLER BAROQUE,1,5.79,5.79,2011,June,Friday,5 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,June,Sunday,1 PM,Weekend
TUMBLER BAROQUE,6,0.39,2.34,2011,June,Wednesday,11 AM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,June,Thursday,2 PM,Weekday
TUMBLER BAROQUE,18,0.97,17.46,2011,June,Wednesday,3 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,June,Sunday,10 AM,Weekend
TUMBLER BAROQUE,6,0.97,5.82,2011,June,Monday,3 PM,Weekday
TUMBLER BAROQUE,12,0.39,4.68,2011,June,Monday,3 PM,Weekday
TUMBLER BAROQUE,6,0.97,5.82,2011,June,Monday,3 PM,Weekday
TUMBLER BAROQUE,6,0.97,5.82,2011,June,Tuesday,5 PM,Weekday
TUMBLER BAROQUE,12,0.97,11.64,2011,June,Thursday,3 PM,Weekday
TUMBLER BAROQUE,12,0.97,11.64,2011,June,Wednesday,3 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,June,Thursday,11 AM,Weekday
TUMBLER BAROQUE,6,0.97,5.82,2011,July,Monday,4 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,July,Thursday,2 PM,Weekday
TUMBLER BAROQUE,24,0.39,9.36,2011,July,Monday,10 AM,Weekday
TUMBLER BAROQUE,6,0.97,5.82,2011,July,Wednesday,4 PM,Weekday
TUMBLER BAROQUE,6,0.97,5.82,2011,July,Wednesday,4 PM,Weekday
TUMBLER BAROQUE,18,0.39,7.02,2011,July,Thursday,1 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,August,Monday,11 AM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,August,Monday,11 AM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,August,Monday,1 PM,Weekday
TUMBLER BAROQUE,6,0.39,2.34,2011,September,Sunday,11 AM,Weekend
TUMBLER BAROQUE,6,0.39,2.34,2011,September,Sunday,12 PM,Weekend
TUMBLER BAROQUE,6,0.39,2.34,2011,February,Friday,11 AM,Weekday
TUMBLER BAROQUE,12,0.39,4.68,2011,January,Thursday,7 PM,Weekday
