Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2010,December,Thursday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2010,December,Monday,12 PM,Weekday
TWO DOOR CURIO CABINET,18,10.95,197.1,2010,December,Wednesday,11 AM,Weekday
TWO DOOR CURIO CABINET,6,10.95,65.7,2010,December,Wednesday,3 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2010,December,Thursday,9 AM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2010,December,Thursday,2 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2010,December,Monday,3 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2010,December,Tuesday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2010,December,Thursday,3 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,January,Friday,3 PM,Weekday
TWO DOOR CURIO CABINET,24,10.95,262.8,2011,January,Friday,1 PM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,January,Thursday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Tuesday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Wednesday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Wednesday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Sunday,1 PM,Weekend
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Monday,12 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Tuesday,4 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,February,Thursday,10 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,February,Thursday,10 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,March,Thursday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Monday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Wednesday,9 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,March,Wednesday,3 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,March,Thursday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Friday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Wednesday,10 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Friday,12 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Monday,7 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Tuesday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,March,Wednesday,5 PM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,March,Thursday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Friday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Sunday,12 PM,Weekend
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Tuesday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Friday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Monday,10 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,April,Thursday,7 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,April,Monday,10 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,April,Thursday,8 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Tuesday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Thursday,4 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,May,Tuesday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Tuesday,3 PM,Weekday
TWO DOOR CURIO CABINET,1,6.0,6.0,2011,May,Wednesday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Thursday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Thursday,1 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,May,Tuesday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Friday,10 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Sunday,11 AM,Weekend
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Monday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,May,Thursday,11 AM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,June,Friday,10 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,June,Friday,3 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,June,Sunday,2 PM,Weekend
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,June,Wednesday,12 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,June,Thursday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,June,Tuesday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,June,Wednesday,3 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,June,Friday,5 PM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,June,Tuesday,11 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,June,Tuesday,5 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,June,Thursday,1 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,July,Friday,11 AM,Weekday
TWO DOOR CURIO CABINET,4,12.75,51.0,2011,July,Sunday,12 PM,Weekend
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,July,Thursday,12 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,July,Sunday,12 PM,Weekend
TWO DOOR CURIO CABINET,6,10.95,65.7,2011,July,Monday,11 AM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,July,Thursday,9 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,July,Thursday,6 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,July,Monday,3 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,July,Friday,8 AM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,August,Monday,10 AM,Weekday
TWO DOOR CURIO CABINET,6,10.95,65.7,2011,August,Thursday,2 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,August,Thursday,4 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,August,Thursday,1 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,August,Monday,12 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,August,Tuesday,5 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,August,Sunday,1 PM,Weekend
TWO DOOR CURIO CABINET,6,10.95,65.7,2011,September,Friday,3 PM,Weekday
TWO DOOR CURIO CABINET,2,12.75,25.5,2011,September,Tuesday,12 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,September,Wednesday,12 PM,Weekday
TWO DOOR CURIO CABINET,1,12.75,12.75,2011,September,Friday,1 PM,Weekday
