Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2010,December,Wednesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2010,December,Wednesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,8,3.36,26.88,2010,December,Friday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,8,1.25,10.0,2010,December,Monday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,3,1.25,3.75,2010,December,Monday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2010,December,Monday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.51,2.51,2010,December,Monday,4 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2010,December,Tuesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,9,3.36,30.24,2010,December,Tuesday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,1.25,2.5,2010,December,Wednesday,5 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,6,1.25,7.5,2010,December,Thursday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,3.36,3.36,2010,December,Friday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2010,December,Friday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,1.25,2.5,2010,December,Sunday,12 PM,Weekend
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2010,December,Sunday,12 PM,Weekend
UNION JACK FLAG LUGGAGE TAG,3,1.25,3.75,2010,December,Tuesday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,11,3.36,36.96,2010,December,Tuesday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,7,3.36,23.52,2010,December,Tuesday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,3.36,3.36,2010,December,Thursday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.51,2.51,2010,December,Thursday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,January,Tuesday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,3.36,13.44,2011,January,Thursday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.51,2.51,2011,January,Friday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,3.36,6.72,2011,January,Tuesday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,3.29,13.16,2011,January,Tuesday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,1.25,5.0,2011,January,Thursday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,3.29,3.29,2011,January,Friday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,January,Tuesday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,January,Tuesday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,7,1.25,8.75,2011,January,Friday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,3.29,6.58,2011,January,Friday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,1.25,2.5,2011,January,Sunday,11 AM,Weekend
UNION JACK FLAG LUGGAGE TAG,2,3.29,6.58,2011,January,Monday,10 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,3,1.25,3.75,2011,January,Monday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,February,Wednesday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,February,Wednesday,4 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,3.29,6.58,2011,February,Friday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,3,1.25,3.75,2011,February,Monday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,1.25,5.0,2011,February,Tuesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,3.29,6.58,2011,February,Tuesday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,5,3.29,16.45,2011,February,Friday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,February,Tuesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,3.29,39.48,2011,February,Thursday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,6,3.29,19.74,2011,February,Wednesday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,February,Wednesday,3 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,February,Thursday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,February,Thursday,4 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,3.29,13.16,2011,February,Friday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,5,3.29,16.45,2011,March,Monday,10 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,2,3.29,6.58,2011,March,Friday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,March,Monday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,8,3.29,26.32,2011,March,Tuesday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.46,2.46,2011,March,Thursday,6 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,2.46,2.46,2011,March,Thursday,6 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,5,1.25,6.25,2011,March,Friday,11 AM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,3.29,13.16,2011,March,Friday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,24,1.25,30.0,2011,March,Friday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,March,Sunday,1 PM,Weekend
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,March,Monday,2 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,3.29,3.29,2011,March,Tuesday,4 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,4,1.25,5.0,2011,March,Wednesday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,24,1.25,30.0,2011,March,Friday,12 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,1,1.25,1.25,2011,March,Sunday,4 PM,Weekend
UNION JACK FLAG LUGGAGE TAG,1,3.29,3.29,2011,March,Tuesday,1 PM,Weekday
UNION JACK FLAG LUGGAGE TAG,12,1.25,15.0,2011,March,Wednesday,10 AM,Weekday
