Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Wednesday,12 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,16.13,32.26,2010,December,Wednesday,5 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Thursday,2 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Thursday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Thursday,4 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,16.13,32.26,2010,December,Friday,11 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,16.13,32.26,2010,December,Friday,11 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,16.13,32.26,2010,December,Friday,11 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Sunday,12 PM,Weekend
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Monday,10 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,4,7.95,31.8,2010,December,Monday,12 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,3,16.13,48.39,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,3,16.13,48.39,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Thursday,12 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Thursday,4 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Thursday,4 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,3,16.13,48.39,2010,December,Thursday,4 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Friday,12 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Friday,2 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Monday,9 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Monday,11 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,3,16.13,48.39,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Tuesday,5 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,7.95,7.95,2010,December,Wednesday,12 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,7.95,7.95,2010,December,Wednesday,2 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Thursday,11 AM,Weekday
VICTORIAN SEWING BOX MEDIUM,4,7.95,31.8,2010,December,Thursday,6 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Friday,2 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Friday,2 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,1,16.13,16.13,2010,December,Friday,4 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,3,16.13,48.39,2010,December,Friday,5 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Sunday,2 PM,Weekend
VICTORIAN SEWING BOX MEDIUM,2,7.95,15.9,2010,December,Tuesday,1 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,4,16.13,64.52,2010,December,Tuesday,3 PM,Weekday
VICTORIAN SEWING BOX MEDIUM,4,16.13,64.52,2010,December,Tuesday,3 PM,Weekday
