Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
VINTAGE CHRISTMAS TABLECLOTH,1,12.5,12.5,2011,July,Friday,10 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,July,Thursday,3 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,August,Tuesday,2 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,August,Thursday,2 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,August,Tuesday,11 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,August,Wednesday,10 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,100,10.39,1039.0,2011,August,Thursday,8 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,August,Friday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,August,Tuesday,1 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,August,Tuesday,3 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,August,Friday,2 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,12,12.5,150.0,2011,September,Monday,11 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,September,Friday,3 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,September,Monday,9 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,September,Tuesday,5 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,September,Wednesday,10 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,September,Thursday,3 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,September,Friday,3 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,1,12.5,12.5,2011,September,Tuesday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,12,12.5,150.0,2011,September,Thursday,11 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,September,Friday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,September,Sunday,11 AM,Weekend
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,September,Sunday,1 PM,Weekend
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,September,Sunday,3 PM,Weekend
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,September,Monday,2 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,6,12.5,75.0,2011,September,Tuesday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,September,Wednesday,10 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,September,Wednesday,2 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,February,Monday,10 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,February,Monday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,2,12.5,25.0,2011,February,Tuesday,8 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,February,Tuesday,9 AM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,1,12.5,12.5,2011,February,Wednesday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,4,12.5,50.0,2011,February,Wednesday,12 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,1,12.5,12.5,2011,February,Wednesday,1 PM,Weekday
VINTAGE CHRISTMAS TABLECLOTH,1,12.5,12.5,2011,February,Wednesday,1 PM,Weekday
