Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,16.98,16.98,2010,December,Wednesday,2 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Wednesday,2 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,16.98,16.98,2010,December,Wednesday,5 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,4,8.5,34.0,2010,December,Friday,1 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,4,8.5,34.0,2010,December,Friday,2 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Sunday,12 PM,Weekend
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Monday,10 AM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Monday,11 AM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Monday,11 AM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Monday,5 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,16.98,16.98,2010,December,Tuesday,6 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Wednesday,3 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,6,8.5,51.0,2010,December,Friday,3 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Sunday,11 AM,Weekend
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Sunday,4 PM,Weekend
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Monday,11 AM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Tuesday,12 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,2,8.5,17.0,2010,December,Tuesday,1 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Tuesday,1 PM,Weekday
VINTAGE CREAM DOG FOOD CONTAINER,1,8.5,8.5,2010,December,Tuesday,2 PM,Weekday
