Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2010,December,Wednesday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,11.87,23.74,2010,December,Wednesday,2 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.87,11.87,2010,December,Tuesday,6 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.87,11.87,2010,December,Monday,9 AM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.87,11.87,2010,December,Monday,11 AM,Weekday
VINTAGE GLASS COFFEE CADDY,48,5.45,261.6,2010,December,Monday,2 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.87,11.87,2010,December,Friday,4 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,January,Monday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,11.63,23.26,2011,January,Thursday,6 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,5.95,11.9,2011,February,Tuesday,12 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,February,Wednesday,5 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.63,11.63,2011,February,Friday,10 AM,Weekday
VINTAGE GLASS COFFEE CADDY,2,5.95,11.9,2011,February,Monday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,3,5.95,17.85,2011,February,Wednesday,10 AM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.63,11.63,2011,February,Wednesday,4 PM,Weekday
VINTAGE GLASS COFFEE CADDY,3,5.95,17.85,2011,February,Tuesday,11 AM,Weekday
VINTAGE GLASS COFFEE CADDY,3,5.95,17.85,2011,February,Friday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,February,Tuesday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.63,11.63,2011,February,Wednesday,3 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,5.95,11.9,2011,March,Monday,5 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,March,Wednesday,11 AM,Weekday
VINTAGE GLASS COFFEE CADDY,1,11.63,11.63,2011,March,Thursday,6 PM,Weekday
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,April,Sunday,3 PM,Weekend
VINTAGE GLASS COFFEE CADDY,1,5.95,5.95,2011,May,Wednesday,1 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,5.95,11.9,2011,July,Friday,2 PM,Weekday
VINTAGE GLASS COFFEE CADDY,2,5.95,11.9,2011,August,Monday,2 PM,Weekday
