Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,6.35,12.7,2010,December,Wednesday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Wednesday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Friday,11 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Monday,10 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Tuesday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Friday,9 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,3,12.72,38.16,2010,December,Friday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Monday,11 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Friday,2 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2010,December,Monday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.72,12.72,2011,January,Friday,1 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,6.35,12.7,2011,February,Thursday,10 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,24,5.55,133.2,2011,February,Wednesday,11 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.46,12.46,2011,February,Tuesday,9 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.46,12.46,2011,March,Friday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.46,12.46,2011,March,Tuesday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,6.35,12.7,2011,March,Wednesday,1 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,12.46,12.46,2011,April,Friday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,6.35,12.7,2011,April,Monday,11 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,12.46,24.92,2011,June,Wednesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,3,4.13,12.39,2011,June,Wednesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,3,4.13,12.39,2011,June,Tuesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,June,Tuesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,June,Monday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,June,Tuesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,June,Thursday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,June,Friday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,5,4.13,20.65,2011,June,Wednesday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,4.13,8.26,2011,June,Thursday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,4.13,8.26,2011,July,Monday,10 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,July,Monday,10 AM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,3,4.13,12.39,2011,July,Tuesday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,5,4.13,20.65,2011,July,Tuesday,5 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,July,Wednesday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,July,Thursday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,4.13,8.26,2011,July,Friday,3 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,2,4.13,8.26,2011,July,Monday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,July,Tuesday,4 PM,Weekday
VINTAGE KEEPSAKE BOX PARIS DAYS,1,4.13,4.13,2011,July,Tuesday,4 PM,Weekday
