Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WAKE UP COCKEREL TILE HOOK,1,4.21,4.21,2010,December,Friday,11 AM,Weekday
WAKE UP COCKEREL TILE HOOK,1,2.1,2.1,2010,December,Tuesday,11 AM,Weekday
WAKE UP COCKEREL TILE HOOK,1,4.13,4.13,2011,January,Friday,2 PM,Weekday
WAKE UP COCKEREL TILE HOOK,6,2.1,12.6,2011,January,Friday,3 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,4.13,4.13,2011,February,Tuesday,5 PM,Weekday
WAKE UP COCKEREL TILE HOOK,6,2.1,12.6,2011,March,Thursday,7 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,4.13,4.13,2011,March,Monday,3 PM,Weekday
WAKE UP COCKEREL TILE HOOK,2,2.1,4.2,2011,April,Monday,4 PM,Weekday
WAKE UP COCKEREL TILE HOOK,2,2.1,4.2,2011,April,Thursday,3 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,2.1,2.1,2011,April,Tuesday,3 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,2.1,2.1,2011,May,Tuesday,4 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,2.1,2.1,2011,May,Wednesday,11 AM,Weekday
WAKE UP COCKEREL TILE HOOK,1,2.1,2.1,2011,May,Sunday,2 PM,Weekend
WAKE UP COCKEREL TILE HOOK,6,0.39,2.34,2011,July,Monday,2 PM,Weekday
WAKE UP COCKEREL TILE HOOK,1,0.39,0.39,2011,July,Wednesday,11 AM,Weekday
WAKE UP COCKEREL TILE HOOK,6,0.39,2.34,2011,July,Monday,1 PM,Weekday
WAKE UP COCKEREL TILE HOOK,6,0.39,2.34,2011,July,Friday,5 PM,Weekday
WAKE UP COCKEREL TILE HOOK,6,0.39,2.34,2011,August,Tuesday,2 PM,Weekday
