Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WALL ART THE MAGIC FOREST,120,6.25,750.0,2011,February,Monday,2 PM,Weekday
WALL ART THE MAGIC FOREST,12,3.97,47.64,2011,February,Monday,3 PM,Weekday
WALL ART THE MAGIC FOREST,1,6.95,6.95,2011,February,Thursday,12 PM,Weekday
WALL ART THE MAGIC FOREST,4,6.95,27.8,2011,February,Friday,11 AM,Weekday
WALL ART THE MAGIC FOREST,1,14.13,14.13,2011,February,Tuesday,4 PM,Weekday
WALL ART THE MAGIC FOREST,1,6.95,6.95,2011,February,Sunday,10 AM,Weekend
WALL ART THE MAGIC FOREST,1,14.13,14.13,2011,January,Friday,9 AM,Weekday
WALL ART THE MAGIC FOREST,2,6.95,13.9,2011,January,Tuesday,11 AM,Weekday
WALL ART THE MAGIC FOREST,1,14.13,14.13,2011,January,Tuesday,5 PM,Weekday
WALL ART THE MAGIC FOREST,1,14.13,14.13,2011,January,Wednesday,3 PM,Weekday
WALL ART THE MAGIC FOREST,2,6.95,13.9,2011,January,Friday,10 AM,Weekday
WALL ART THE MAGIC FOREST,1,6.95,6.95,2011,January,Wednesday,5 PM,Weekday
WALL ART THE MAGIC FOREST,1,2.55,2.55,2011,December,Tuesday,12 PM,Weekday
