Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Friday,11 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,5,7.95,39.75,2010,December,Wednesday,2 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Thursday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Thursday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.62,7.62,2010,December,Friday,9 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2010,December,Sunday,12 PM,Weekend
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2010,December,Tuesday,1 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2010,December,Friday,5 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,3,7.62,22.86,2010,December,Monday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,16.13,16.13,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,16.13,32.26,2010,December,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2011,January,Tuesday,11 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.62,7.62,2011,January,Monday,9 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Thursday,9 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,January,Friday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,January,Friday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,January,Friday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Monday,5 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Friday,5 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Monday,1 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,January,Wednesday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,February,Wednesday,1 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,February,Friday,9 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,February,Thursday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,7.95,15.9,2011,February,Sunday,10 AM,Weekend
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,March,Monday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,15.79,31.58,2011,March,Friday,12 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,March,Wednesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,March,Tuesday,1 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2011,March,Tuesday,5 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,March,Thursday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,April,Tuesday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,3,7.95,23.85,2011,April,Tuesday,12 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,April,Wednesday,5 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,April,Thursday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2011,May,Friday,1 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,May,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,May,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,May,Thursday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.95,7.95,2011,June,Thursday,7 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,June,Wednesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,June,Wednesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,June,Monday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,July,Tuesday,3 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,July,Wednesday,4 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,15.79,15.79,2011,July,Monday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,7.95,15.9,2011,July,Sunday,1 PM,Weekend
WALL MIRROR RECTANGLE DIAMANTE PINK,3,15.79,47.37,2011,August,Thursday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,2,7.95,15.9,2011,August,Monday,2 PM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,August,Tuesday,10 AM,Weekday
WALL MIRROR RECTANGLE DIAMANTE PINK,1,7.46,7.46,2011,August,Tuesday,12 PM,Weekday
