Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2010,December,Sunday,11 AM,Weekend
WHITE TISSUE REAM,1,7.95,7.95,2010,December,Monday,12 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2010,December,Monday,2 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2010,December,Tuesday,2 PM,Weekday
WHITE TISSUE REAM,3,7.95,23.85,2010,December,Wednesday,1 PM,Weekday
WHITE TISSUE REAM,2,7.95,15.9,2010,December,Thursday,4 PM,Weekday
WHITE TISSUE REAM,3,7.95,23.85,2010,December,Friday,2 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2010,December,Tuesday,12 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2011,January,Friday,4 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2011,January,Sunday,3 PM,Weekend
WHITE TISSUE REAM,1,7.95,7.95,2011,January,Monday,4 PM,Weekday
WHITE TISSUE REAM,2,7.95,15.9,2011,January,Tuesday,1 PM,Weekday
WHITE TISSUE REAM,1,7.95,7.95,2011,January,Wednesday,11 AM,Weekday
