Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WHITE TRAVEL ALARM CLOCK,3,2.51,7.53,2010,December,Wednesday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Friday,11 AM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2010,December,Monday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Monday,10 AM,Weekday
WHITE TRAVEL ALARM CLOCK,6,2.51,15.06,2010,December,Monday,4 PM,Weekday
WHITE TRAVEL ALARM CLOCK,6,2.51,15.06,2010,December,Tuesday,3 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Tuesday,6 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Wednesday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2010,December,Friday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Monday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Monday,11 AM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2010,December,Friday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Friday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,5,2.51,12.55,2010,December,Friday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,3,2.51,7.53,2010,December,Friday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Monday,1 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2010,December,Monday,3 PM,Weekday
WHITE TRAVEL ALARM CLOCK,4,2.51,10.04,2010,December,Thursday,1 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2011,January,Tuesday,1 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2011,January,Wednesday,11 AM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2011,January,Thursday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2011,January,Monday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2011,January,Monday,4 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.51,2.51,2011,January,Tuesday,1 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.51,5.02,2011,January,Wednesday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,3,2.51,7.53,2011,January,Wednesday,3 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.46,2.46,2011,January,Thursday,9 AM,Weekday
WHITE TRAVEL ALARM CLOCK,4,2.46,9.84,2011,January,Friday,2 PM,Weekday
WHITE TRAVEL ALARM CLOCK,6,2.46,14.76,2011,January,Monday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,1,2.46,2.46,2011,January,Monday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.46,4.92,2011,January,Monday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,2,2.46,4.92,2011,January,Monday,5 PM,Weekday
WHITE TRAVEL ALARM CLOCK,3,2.46,7.38,2011,January,Tuesday,3 PM,Weekday
