Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Monday,12 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Wednesday,10 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Thursday,10 AM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,February,Thursday,12 PM,Weekday
WIRE EGG BASKET,4,7.85,31.4,2011,February,Thursday,12 PM,Weekday
WIRE EGG BASKET,4,7.85,31.4,2011,February,Friday,2 PM,Weekday
WIRE EGG BASKET,1,14.96,14.96,2011,February,Monday,5 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Thursday,9 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Thursday,10 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Sunday,1 PM,Weekend
WIRE EGG BASKET,4,7.85,31.4,2011,February,Monday,11 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,February,Monday,2 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Wednesday,1 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Wednesday,1 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Thursday,9 AM,Weekday
WIRE EGG BASKET,12,6.65,79.8,2011,January,Thursday,10 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Thursday,11 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Thursday,1 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Sunday,1 PM,Weekend
WIRE EGG BASKET,1,7.85,7.85,2011,January,Sunday,1 PM,Weekend
WIRE EGG BASKET,12,6.95,83.4,2011,January,Monday,11 AM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Monday,2 PM,Weekday
WIRE EGG BASKET,4,7.85,31.4,2011,January,Thursday,7 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Tuesday,2 PM,Weekday
WIRE EGG BASKET,12,6.95,83.4,2011,January,Wednesday,3 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Wednesday,3 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Thursday,11 AM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Thursday,1 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Friday,1 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Friday,3 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Sunday,10 AM,Weekend
WIRE EGG BASKET,2,7.85,15.7,2011,January,Tuesday,11 AM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Tuesday,12 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Wednesday,5 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Thursday,1 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,January,Friday,2 PM,Weekday
WIRE EGG BASKET,3,7.85,23.55,2011,January,Sunday,12 PM,Weekend
WIRE EGG BASKET,2,7.85,15.7,2011,January,Tuesday,9 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,January,Tuesday,1 PM,Weekday
WIRE EGG BASKET,1,14.96,14.96,2011,January,Wednesday,3 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,December,Thursday,12 PM,Weekday
WIRE EGG BASKET,1,7.85,7.85,2011,December,Friday,4 PM,Weekday
WIRE EGG BASKET,1,14.96,14.96,2011,December,Monday,5 PM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,December,Wednesday,11 AM,Weekday
WIRE EGG BASKET,2,7.85,15.7,2011,December,Thursday,2 PM,Weekday
