Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Wednesday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Wednesday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.55,30.6,2010,December,Wednesday,10 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Wednesday,11 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Wednesday,11 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,3,2.95,8.85,2010,December,Wednesday,5 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,8 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.95,35.4,2010,December,Thursday,10 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,10 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,10 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,2,2.95,5.9,2010,December,Thursday,11 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,12 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,12 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,2 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,2 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Thursday,2 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,3 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.55,15.3,2010,December,Thursday,3 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Thursday,5 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,4,2.95,11.8,2010,December,Thursday,6 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,2,2.95,5.9,2010,December,Thursday,7 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,16,8.47,135.52,2010,December,Friday,2 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,1,2.95,2.95,2010,December,Friday,4 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Sunday,10 AM,Weekend
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Sunday,11 AM,Weekend
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Sunday,1 PM,Weekend
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Sunday,1 PM,Weekend
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Sunday,3 PM,Weekend
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Monday,12 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Monday,2 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.95,35.4,2010,December,Monday,3 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,30,8.47,254.1,2010,December,Tuesday,3 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,1,2.95,2.95,2010,December,Tuesday,3 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,1,7.62,7.62,2010,December,Tuesday,6 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Wednesday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.95,35.4,2010,December,Wednesday,9 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Wednesday,10 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.95,35.4,2010,December,Wednesday,11 AM,Weekday
WOODEN FRAME ANTIQUE WHITE,2,2.95,5.9,2010,December,Wednesday,12 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,2,2.95,5.9,2010,December,Wednesday,1 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,6,2.95,17.7,2010,December,Wednesday,1 PM,Weekday
WOODEN FRAME ANTIQUE WHITE,12,2.95,35.4,2010,December,Wednesday,1 PM,Weekday
