Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WOODLAND  STICKERS,6,0.85,5.1,2010,December,Monday,3 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2010,December,Tuesday,10 AM,Weekday
WOODLAND  STICKERS,1,1.66,1.66,2010,December,Tuesday,6 PM,Weekday
WOODLAND  STICKERS,1,1.66,1.66,2010,December,Wednesday,2 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2010,December,Wednesday,3 PM,Weekday
WOODLAND  STICKERS,1,0.85,0.85,2010,December,Wednesday,4 PM,Weekday
WOODLAND  STICKERS,36,0.85,30.6,2010,December,Thursday,10 AM,Weekday
WOODLAND  STICKERS,1,1.66,1.66,2010,December,Friday,9 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2010,December,Sunday,2 PM,Weekend
WOODLAND  STICKERS,1,1.66,1.66,2010,December,Friday,2 PM,Weekday
WOODLAND  STICKERS,24,0.85,20.4,2010,December,Monday,3 PM,Weekday
WOODLAND  STICKERS,1,1.66,1.66,2011,January,Monday,2 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,January,Thursday,9 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,January,Monday,10 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,January,Thursday,8 AM,Weekday
WOODLAND  STICKERS,24,0.85,20.4,2011,January,Thursday,1 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,January,Friday,3 PM,Weekday
WOODLAND  STICKERS,4,0.85,3.4,2011,February,Monday,2 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,February,Thursday,6 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,February,Friday,11 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,March,Thursday,12 PM,Weekday
WOODLAND  STICKERS,2,1.63,3.26,2011,March,Thursday,6 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,March,Thursday,6 PM,Weekday
WOODLAND  STICKERS,3,1.63,4.89,2011,March,Tuesday,3 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,April,Thursday,10 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,April,Friday,9 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,April,Thursday,5 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,April,Friday,10 AM,Weekday
WOODLAND  STICKERS,2,1.63,3.26,2011,April,Monday,1 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,April,Monday,1 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,April,Tuesday,3 PM,Weekday
WOODLAND  STICKERS,48,0.85,40.8,2011,May,Thursday,5 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,May,Tuesday,4 PM,Weekday
WOODLAND  STICKERS,1,0.85,0.85,2011,May,Tuesday,1 PM,Weekday
WOODLAND  STICKERS,6,0.85,5.1,2011,May,Monday,11 AM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,June,Wednesday,5 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,June,Wednesday,5 PM,Weekday
WOODLAND  STICKERS,1,0.85,0.85,2011,June,Thursday,3 PM,Weekday
WOODLAND  STICKERS,6,0.85,5.1,2011,June,Friday,9 AM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,June,Thursday,4 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,June,Friday,9 AM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,June,Friday,5 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,July,Monday,10 AM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,July,Thursday,4 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,July,Friday,1 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,July,Monday,10 AM,Weekday
WOODLAND  STICKERS,2,1.63,3.26,2011,August,Friday,4 PM,Weekday
WOODLAND  STICKERS,6,0.85,5.1,2011,August,Wednesday,3 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,August,Sunday,1 PM,Weekend
WOODLAND  STICKERS,12,0.85,10.2,2011,August,Tuesday,11 AM,Weekday
WOODLAND  STICKERS,2,1.63,3.26,2011,August,Tuesday,12 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,August,Wednesday,8 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,September,Wednesday,3 PM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,September,Friday,10 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,September,Friday,11 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,September,Wednesday,3 PM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,September,Wednesday,3 PM,Weekday
WOODLAND  STICKERS,144,0.85,122.4,2011,September,Thursday,10 AM,Weekday
WOODLAND  STICKERS,12,0.85,10.2,2011,September,Tuesday,11 AM,Weekday
WOODLAND  STICKERS,24,0.85,20.4,2011,September,Wednesday,11 AM,Weekday
WOODLAND  STICKERS,1,1.63,1.63,2011,September,Wednesday,4 PM,Weekday
