Description,Quantity,UnitPrice,Revenue,Year,Month,DayOfWeek,Hour,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,March,Friday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,March,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Friday,2 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Tuesday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Tuesday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Thursday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Thursday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Sunday,11 AM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Tuesday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,April,Tuesday,3 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,6,0.42,2.52,2011,April,Thursday,5 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Thursday,9 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Thursday,5 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Monday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Tuesday,3 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Wednesday,2 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Tuesday,11 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,May,Sunday,1 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,50,0.42,21.0,2011,May,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,75,0.42,31.5,2011,June,Wednesday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,June,Thursday,11 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,June,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,June,Friday,1 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,June,Friday,4 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,June,Wednesday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,100,0.42,42.0,2011,June,Wednesday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Tuesday,2 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Wednesday,9 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,50,0.42,21.0,2011,July,Wednesday,5 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Thursday,3 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Monday,3 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Wednesday,3 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Sunday,1 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Monday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,50,0.42,21.0,2011,July,Tuesday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,July,Sunday,12 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,August,Sunday,12 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,August,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,August,Tuesday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,August,Monday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,August,Wednesday,4 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,September,Sunday,1 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,September,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,75,0.42,31.5,2011,September,Monday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,September,Tuesday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,September,Tuesday,1 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,September,Thursday,5 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Wednesday,4 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Friday,12 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Sunday,12 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Tuesday,8 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Tuesday,4 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,February,Sunday,10 AM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Thursday,9 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Friday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Wednesday,11 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Sunday,2 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Monday,8 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Monday,10 AM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,January,Sunday,4 PM,Weekend
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,December,Friday,2 PM,Weekday
WRAP BILLBOARD FONTS DESIGN,25,0.42,10.5,2011,December,Friday,11 AM,Weekday
